channel_name,real_name,category,URL,channel_id,Twitter Handle,Platform,quality_of_scrape,flair,kind_of_channel
InvestAnswers,,crypto,https://www.youtube.com/channel/UClgJyzwGs-GyaNxUHcLZrkg,UClgJyzwGs-GyaNxUHcLZrkg,@usfjx,YouTube,dead scrape,,
The Clever Millionaire,,crypto,https://www.youtube.com/channel/UCQ80iBjjIST9VmL8h2MUylw,UCQ80iBjjIST9VmL8h2MUylw,@SenadTCM,YouTube,dead scrape,,
Mr Kristof,Kris,crypto,https://www.youtube.com/channel/UCFv_fMg2ENc2_6qWmy5I4nQ,UCFv_fMg2ENc2_6qWmy5I4nQ,@mr_kristof007,YouTube,dead scrape,,
Cripto Avances,,crypto,https://www.youtube.com/channel/UCgbrVy4r4hLOb4XzRRKRUXQ,UCgbrVy4r4hLOb4XzRRKRUXQ,,YouTube,dead scrape,,
Islamic Finance Guru,Ibrahim & Mohsin,crypto,https://www.youtube.com/channel/UCfK3eYK0Wq5-dcFPJtwSHOA,UCfK3eYK0Wq5-dcFPJtwSHOA,@IFguru,YouTube,dead scrape,,
VietMaxim,,crypto,https://www.youtube.com/channel/UCrmTlQeRECe8ZihjDgAXysQ,UCrmTlQeRECe8ZihjDgAXysQ,,YouTube,dead scrape,,
Chart Champions,,crypto,https://www.youtube.com/channel/UCHOP_YfwdMk5hpxbugzC1wA,UCHOP_YfwdMk5hpxbugzC1wA,@chartchampions1,YouTube,dead scrape,,
Finstreet,,crypto,https://www.youtube.com/channel/UC9uE3NWbpg09xN8H5pmT4gQ,UC9uE3NWbpg09xN8H5pmT4gQ,@finstreetsimsr,YouTube,dead scrape,,
Arcane Bear,,crypto,https://www.youtube.com/channel/UCPpo9YgJsEwoN0nB-VTF7Tw,UCPpo9YgJsEwoN0nB-VTF7Tw,@thearcanebear,YouTube,dead scrape,,
Hashoshi,,crypto,https://www.youtube.com/channel/UCQNHKsYDGlWefzv9MAaOJGA,UCQNHKsYDGlWefzv9MAaOJGA,@hashoshi4,YouTube,dead scrape,,
Scott Melker,,crypto,https://www.youtube.com/channel/UCxIU1RFIdDpvA8VOITswQ1A,UCxIU1RFIdDpvA8VOITswQ1A,@scottmelker,YouTube,dead scrape,,
Enter The Crypto Matrix,,crypto,https://www.youtube.com/channel/UCefQC4Y-X9MBRuYBKc2waiQ,UCefQC4Y-X9MBRuYBKc2waiQ,"@CryptoMatrix2",YouTube,dead scrape,,
The Life of a Miner,,crypto,https://www.youtube.com/channel/UC9-tZ-xN3eeavJ-sMRpG4dw,UC9-tZ-xN3eeavJ-sMRpG4dw,@mining,YouTube,dead scrape,,
Anand Chennai2London,,crypto,https://www.youtube.com/channel/UCL6Wsx-3AW_jj7SOFtv3vrg,UCL6Wsx-3AW_jj7SOFtv3vrg,@chennai2london,YouTube,dead scrape,,
Vincent Briatore,Vincent Briatore aka,crypto,https://www.youtube.com/channel/UCs4Z_s2SngU_f4HpIz1o4mw,UCs4Z_s2SngU_f4HpIz1o4mw,@vincentbriatore,YouTube,dead scrape,,
CoinDesk,,crypto,https://www.youtube.com/channel/UC7TghOL755nBk7HelHoi9LQ,UC7TghOL755nBk7HelHoi9LQ,@CoinDesk,YouTube,dead scrape,,
Crypto Notes,Mohsin Ali,crypto,https://www.youtube.com/channel/UChwiV3-_Gu57hxZg1EGnpUA,UChwiV3-_Gu57hxZg1EGnpUA,@NotesCrypto,YouTube,dead scrape,,
Full Value Dan,,crypto,https://www.youtube.com/channel/UCw2NDyMltL29c3h4KkidOGg,UCw2NDyMltL29c3h4KkidOGg,,YouTube,dead scrape,,
Crypto Jebb,,crypto,https://www.youtube.com/channel/UCviqt5aaucA1jP3qFmorZLQ,UCviqt5aaucA1jP3qFmorZLQ,@CryptoJebb,YouTube,dead scrape,,
Richard Heart,,crypto,https://www.youtube.com/channel/UCta3TYFhzfpPvOtKBDifYJA,UCta3TYFhzfpPvOtKBDifYJA,@RichardHeartWin,YouTube,dead scrape,,
aantonop,,crypto,https://www.youtube.com/user/aantonop/videos,aantonop,@aantonop,YouTube,dead scrape,,
World Crypto Network,,crypto,https://www.youtube.com/user/WorldCryptoNetwork/videos,WorldCryptoNetwork,@WorldCryptoNet,YouTube,dead scrape,,
Trevon James,Trevon James,crypto,https://www.youtube.com/channel/UCWZbtMeOAb_qpEVUl551l7w/videos,UCWZbtMeOAb_qpEVUl551l7w,@BitcoinTre,YouTube,dead scrape,,
Peter Saddington,Peter Saddington,crypto,https://www.youtube.com/c/TheBitcoinLambo/featured,TheBitcoinLambo,@AgilePeter,YouTube,dead scrape,,
Ronaldo Silva - Bitcoin RS,,crypto,https://www.youtube.com/c/BitcoinRS/featured,BitcoinRS,@BitcoinRevelado,YouTube,dead scrape,,
